NyTIMESName,USCensusCountyName,State,FIPS
Abbeville,Abbeville County,South Carolina,45001
Acadia,Acadia Parish,Louisiana,22001
Accomack,Accomack County,Virginia,51001
Ada,Ada County,Idaho,16001
Adair,Adair County,Iowa,19001
Adair,Adair County,Kentucky,21001
Adair,Adair County,Missouri,29001
Adair,Adair County,Oklahoma,40001
Adams,Adams County,Colorado,8001
Adams,Adams County,Idaho,16003
Adams,Adams County,Illinois,17001
Adams,Adams County,Indiana,18001
Adams,Adams County,Iowa,19003
Adams,Adams County,Mississippi,28001
Adams,Adams County,Nebraska,31001
Adams,Adams County,Ohio,39001
Adams,Adams County,Pennsylvania,42001
Adams,Adams County,Washington,53001
Adams,Adams County,Wisconsin,55001
Addison,Addison County,Vermont,50001
Aiken,Aiken County,South Carolina,45003
Aitkin,Aitkin County,Minnesota,27001
Alachua,Alachua County,Florida,12001
Alamance,Alamance County,North Carolina,37001
Alameda,Alameda County,California,6001
Alamosa,Alamosa County,Colorado,8003
Albany,Albany County,New York,36001
Albany,Albany County,Wyoming,56001
Albemarle,Albemarle County,Virginia,51003
Alcona,Alcona County,Michigan,26001
Alcorn,Alcorn County,Mississippi,28003
Alexander,Alexander County,Illinois,17003
Alexander,Alexander County,North Carolina,37003
Alexandria city,Alexandria city,Virginia,51510
Alfalfa,Alfalfa County,Oklahoma,40003
Allamakee,Allamakee County,Iowa,19005
Allegan,Allegan County,Michigan,26005
Allegany,Allegany County,Maryland,24001
Allegany,Allegany County,New York,36003
Alleghany,Alleghany County,North Carolina,37005
Alleghany,Alleghany County,Virginia,51005
Allegheny,Allegheny County,Pennsylvania,42003
Allen,Allen County,Indiana,18003
Allen,Allen County,Kentucky,21003
Allen,Allen County,Ohio,39003
Allen,Allen Parish,Louisiana,22003
Allendale,Allendale County,South Carolina,45005
Alpena,Alpena County,Michigan,26007
Alpine,Alpine County,California,6003
Amador,Amador County,California,6005
Amelia,Amelia County,Virginia,51007
Amherst,Amherst County,Virginia,51009
Amite,Amite County,Mississippi,28005
Anderson,Anderson County,Kansas,20003
Anderson,Anderson County,Kentucky,21005
Anderson,Anderson County,South Carolina,45007
Anderson,Anderson County,Tennessee,47001
Anderson,Anderson County,Texas,48001
Andrew,Andrew County,Missouri,29003
Andrews,Andrews County,Texas,48003
Androscoggin,Androscoggin County,Maine,23001
Angelina,Angelina County,Texas,48005
Anne Arundel,Anne Arundel County,Maryland,24003
Anoka,Anoka County,Minnesota,27003
Anson,Anson County,North Carolina,37007
Antelope,Antelope County,Nebraska,31003
Antrim,Antrim County,Michigan,26009
Apache,Apache County,Arizona,4001
Appanoose,Appanoose County,Iowa,19007
Appling,Appling County,Georgia,13001
Appomattox,Appomattox County,Virginia,51011
Aransas,Aransas County,Texas,48007
Arapahoe,Arapahoe County,Colorado,8005
Archer,Archer County,Texas,48009
Archuleta,Archuleta County,Colorado,8007
Arenac,Arenac County,Michigan,26011
Arkansas,Arkansas County,Arkansas,5001
Arlington,Arlington County,Virginia,51013
Armstrong,Armstrong County,Pennsylvania,42005
Armstrong,Armstrong County,Texas,48011
Aroostook,Aroostook County,Maine,23003
Ascension,Ascension Parish,Louisiana,22005
Ashe,Ashe County,North Carolina,37009
Ashland,Ashland County,Ohio,39005
Ashland,Ashland County,Wisconsin,55003
Ashley,Ashley County,Arkansas,5003
Ashtabula,Ashtabula County,Ohio,39007
Asotin,Asotin County,Washington,53003
Assumption,Assumption Parish,Louisiana,22007
Atascosa,Atascosa County,Texas,48013
Atchison,Atchison County,Kansas,20005
Atchison,Atchison County,Missouri,29005
Athens,Athens County,Ohio,39009
Atkinson,Atkinson County,Georgia,13003
Atlantic,Atlantic County,New Jersey,34001
Atoka,Atoka County,Oklahoma,40005
Attala,Attala County,Mississippi,28007
Audrain,Audrain County,Missouri,29007
Audubon,Audubon County,Iowa,19009
Auglaize,Auglaize County,Ohio,39011
Augusta,Augusta County,Virginia,51015
Aurora,Aurora County,South Dakota,46003
Austin,Austin County,Texas,48015
Autauga,Autauga County,Alabama,1001
Avery,Avery County,North Carolina,37011
Avoyelles,Avoyelles Parish,Louisiana,22009
Baca,Baca County,Colorado,8009
Bacon,Bacon County,Georgia,13005
Bailey,Bailey County,Texas,48017
Baker,Baker County,Florida,12003
Baker,Baker County,Georgia,13007
Baker,Baker County,Oregon,41001
Baldwin,Baldwin County,Alabama,1003
Baldwin,Baldwin County,Georgia,13009
